Размер массива;Выбором Случайные [0..5];Выбором Случайные [0..4000];Выбором Почти отсортированный [0..4000];Выбором Обратно отсортированный [4100 -> 1];Пузырьковая Случайные [0..5];Пузырьковая Случайные [0..4000];Пузырьковая Почти отсортированный [0..4000];Пузырьковая Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон1 Случайные [0..5];Пузырьковая_Айверсон1 Случайные [0..4000];Пузырьковая_Айверсон1 Почти отсортированный [0..4000];Пузырьковая_Айверсон1 Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон2 Случайные [0..5];Пузырьковая_Айверсон2 Случайные [0..4000];Пузырьковая_Айверсон2 Почти отсортированный [0..4000];Пузырьковая_Айверсон2 Обратно отсортированный [4100 -> 1];Вставками Случайные [0..5];Вставками Случайные [0..4000];Вставками Почти отсортированный [0..4000];Вставками Обратно отсортированный [4100 -> 1];Бинарными_вставками Случайные [0..5];Бинарными_вставками Случайные [0..4000];Бинарными_вставками Почти отсортированный [0..4000];Бинарными_вставками Обратно отсортированный [4100 -> 1];Подсчетом_устойчивая Случайные [0..5];Подсчетом_устойчивая Случайные [0..4000];Подсчетом_устойчивая Почти отсортированный [0..4000];Подсчетом_устойчивая Обратно отсортированный [4100 -> 1];Цифровая Случайные [0..5];Цифровая Случайные [0..4000];Цифровая Почти отсортированный [0..4000];Цифровая Обратно отсортированный [4100 -> 1];Слиянием Случайные [0..5];Слиянием Случайные [0..4000];Слиянием Почти отсортированный [0..4000];Слиянием Обратно отсортированный [4100 -> 1];Быстрая_Хоар Случайные [0..5];Быстрая_Хоар Случайные [0..4000];Быстрая_Хоар Почти отсортированный [0..4000];Быстрая_Хоар Обратно отсортированный [4100 -> 1];Быстрая_Ломуто Случайные [0..5];Быстрая_Ломуто Случайные [0..4000];Быстрая_Ломуто Почти отсортированный [0..4000];Быстрая_Ломуто Обратно отсортированный [4100 -> 1];Пирамидальная Случайные [0..5];Пирамидальная Случайные [0..4000];Пирамидальная Почти отсортированный [0..4000];Пирамидальная Обратно отсортированный [4100 -> 1]
50;3092;2831;2514;2718;2931;3163;1517;1456;3456;3718;621;1490;3034;3228;607;1495;1000;985;473;1184;1857;2070;782;1731;824;3343;1111;601;1142;1435;1266;883;2853;2592;2155;1808;1456;1774;1434;952;1403;1522;1949;2115;1703;1767;1784;1477
60;3922;3958;3605;3604;3733;4039;1893;1950;4389;4817;736;1970;3667;4047;669;2006;1164;1166;491;1441;2185;2504;835;2266;606;3197;1036;628;1136;1514;1349;947;2951;2901;2320;1963;1572;2113;1597;992;1515;1783;2521;2524;1921;2089;2009;1678
70;5176;5212;4902;4672;4535;5043;2332;2483;5510;6060;849;2512;4476;4998;744;2512;1342;1373;521;1713;2584;2994;933;2847;662;3139;1083;650;1076;1601;1477;991;3388;3339;2679;2233;1753;2459;1833;1013;1739;2034;3240;3188;2205;2422;2326;1952
80;6594;6746;6369;5948;5566;6270;2861;3136;6925;7726;1032;3228;5511;6267;873;3183;1559;1616;565;2077;3046;3577;1042;3582;678;3220;1114;668;1246;1703;1612;1033;3769;3810;2980;2379;1988;2819;2050;1191;1994;2331;3872;3927;2532;2788;2715;2273
90;8281;8374;8111;7356;6726;7635;3405;3933;8587;9656;1268;4028;6770;7698;1049;3917;1762;1846;634;2462;3585;4269;1185;4440;693;3259;1162;674;1188;1824;1758;1103;4301;4358;3309;2704;2150;3177;2277;1184;2302;2649;4694;4770;2860;3175;3047;2645
100;10129;10282;10108;9070;7970;9280;4101;4925;10325;11658;1516;5006;7993;9258;1240;4857;2006;2148;679;2963;4164;5028;1357;5349;725;3224;1213;692;1259;1929;1898;1158;4729;4798;3682;2925;2326;3532;2509;1299;2565;2940;5593;5636;3201;3576;3472;2892
110;12043;12243;12096;10809;9266;10749;4762;5878;12073;13787;1861;6081;9336;10949;1489;5854;2255;2405;729;3319;4742;5770;1487;6410;719;3239;1249;726;1288;2048;2027;1206;5237;5400;4035;3202;2506;3911;2758;1223;2909;3262;6550;6652;3529;3976;3842;3191
120;14201;14493;14375;12762;10627;12474;5511;7161;14203;16101;2206;7410;10881;12769;1748;7057;2534;2715;780;3913;5427;6648;1654;7614;736;3298;1279;757;1333;2151;2196;1293;5739;5853;4322;3420;2710;4299;3002;1381;3274;3575;7586;7735;3901;4382;4189;3532
130;16674;17329;17002;15018;12060;14424;6278;8605;16168;18772;2699;9006;12711;14968;2081;8459;2986;3144;812;4474;6177;7700;1807;9016;752;3396;1305;880;1475;2282;2247;1357;6258;6593;4789;3756;2925;4752;3266;1386;3714;4017;8641;8970;4184;4809;4541;3907
140;19113;19637;19591;17539;13678;16478;7291;10202;18355;21228;3208;10482;14210;17035;2461;9769;3192;3444;852;5322;6934;8656;1916;10423;814;3422;1331;808;1473;2491;2365;1421;6677;6967;5041;3904;3084;5133;3439;1486;4113;4254;9789;10119;4553;5220;4953;4215
150;21882;22535;22532;20077;15341;18591;8010;11865;20529;23971;3733;12007;15955;19250;2809;11311;3511;3843;895;5692;7763;9657;2067;11899;835;3346;1321;829;1583;2494;2427;1421;7110;7435;5389;4181;3265;5481;3652;1515;4536;4621;11020;11484;4966;5653;5265;4623
160;24772;25567;25827;23076;17003;20817;9007;13452;23060;26783;4415;13694;17866;21659;3250;12967;3838;4176;939;6299;8637;10719;2220;13555;849;3355;1323;835;1617;2595;2531;1466;7499;7854;5594;4340;3470;5868;3885;1688;5006;4874;12235;12811;5302;6102;5626;4970
170;27836;28708;28902;25920;18709;23030;9949;15341;25478;29655;5217;15636;19844;24095;3801;14685;4227;4701;987;7190;9930;11884;2380;15421;873;3396;1382;876;1689;2684;2629;1554;7990;8446;5973;4644;3665;6238;4107;1737;5441;5245;13530;14387;5670;6495;6074;5357
180;31103;32182;32597;29318;20598;25548;10983;17424;28059;32591;6014;17691;21948;26626;4363;16608;4577;5000;1053;7923;10445;13111;2539;17367;917;3417;1411;933;1717;2789;2749;1620;8600;8938;6303;4897;3797;6616;4360;1876;5893;5550;14860;15936;6045;6921;6452;5775
190;34357;35618;36082;32638;22279;27851;12104;19418;30464;35863;7088;19644;23834;29414;5068;18573;4970;5489;1138;8746;11469;14302;2714;19369;966;3413;1435;925;1770;2969;2886;1695;8922;9551;6689;5137;4043;7027;4627;1792;6428;5930;16376;17862;6439;7484;6906;6169
200;38216;39550;40337;36385;24295;30550;13331;21682;33156;39147;8227;21845;26137;32237;5872;20665;5389;5982;1187;9582;12464;15684;2882;21415;914;3455;1448;943;1791;3042;2986;1708;9276;10038;6961;5319;4153;7447;4847;1994;6878;6256;17568;19330;6798;7861;7284;6441
210;41838;43353;44209;40299;26325;33478;14572;24204;36021;42793;9444;24242;28469;35317;6753;22977;5868;6460;1245;10461;13628;17082;3023;23695;937;3485;1455;945;1887;3158;3131;1771;9846;10576;7358;5581;4370;7819;5124;1924;7448;6625;18944;21148;7192;8320;7738;6821
220;45937;47537;48551;44104;28468;36163;15821;26599;38813;46131;10859;26797;30962;38591;7592;25434;6295;6965;1294;11428;14830;18666;3217;26152;969;3477;1458;1018;1967;3291;3170;1866;10223;11199;7642;5918;4566;8203;5319;2044;7967;6909;20309;23154;7601;8790;8109;7288
230;50241;52080;52886;48534;30603;39097;17323;29172;41681;49950;12164;29305;33486;41575;8581;27975;6839;7562;1378;12434;15882;20084;3417;28635;951;3511;1542;1032;1979;3371;3326;1909;10730;11709;8095;6124;4696;8575;5677;2046;8537;7319;21796;25351;7998;9279;8550;7708
240;54853;56717;57910;52960;32965;42103;18625;31925;44716;53517;13923;31969;36068;45029;9787;30463;7290;8158;1430;13457;17153;21754;3556;31352;994;3562;1632;1113;2053;3845;3639;2159;11128;12253;8296;6320;4913;9074;5826;2180;9095;7636;23144;27381;8358;9744;8885;7891
250;59501;61670;62597;57660;35203;45153;20080;34745;47662;57378;15843;34858;38800;48831;11172;33270;7822;8726;1495;14650;18431;23355;3681;34030;1060;3577;1555;1083;2137;3597;3538;2006;11673;12846;8625;6622;5081;9454;6074;2158;9688;7982;24500;29586;8763;10247;9187;8242
260;64459;66746;67751;62459;37487;48354;21596;37871;50749;61914;17795;37850;41596;52009;12585;36011;8298;9336;1578;15592;19853;25132;3936;36947;1114;3630;1706;1181;2217;3738;3726;3717;12337;13660;9387;7031;5292;9856;6355;2267;10294;8326;26001;31951;9036;10600;9803;8797
270;69508;72048;73081;67492;39941;51675;23228;41039;53807;65893;19989;41044;44545;55760;14034;39032;8878;9947;1621;16844;21220;26949;4102;39906;1123;3699;1660;1168;2307;3863;3845;3799;12792;14131;9513;7195;5469;10277;6561;2247;10889;8735;27368;34148;9413;11118;10017;9144
280;74395;77027;78545;72591;42550;54880;24921;44578;57142;70470;21968;44418;47565;59405;15371;42174;9476;10613;1717;18189;22650;28746;4301;43079;1149;3685;1688;1227;2359;3947;3912;3958;13158;14453;9847;7421;5632;10639;6794;2462;11544;9027;28653;36541;9779;11544;10430;9507
290;79876;82637;84340;78110;45168;58475;26616;47578;60512;74716;24680;47380;50720;63284;17317;45386;10017;11278;1772;19279;24153;30551;4472;46154;1144;3746;1699;1211;2417;4120;4011;4017;13564;15071;10196;7668;5816;11052;7041;2486;12146;9380;29834;39070;10206;12080;10813;9713
300;85623;88359;90466;83851;47799;62053;28277;50980;63736;79305;27143;50846;53863;67107;19171;48494;10671;11929;1844;20498;25564;32543;4662;49553;1178;3722;1717;1275;2474;4159;4135;4165;14049;15557;10478;7933;6009;11476;7281;2614;12829;9723;31062;41663;10590;12540;11219;10111
