Размер массива;Выбором Случайные [0..5];Выбором Случайные [0..4000];Выбором Почти отсортированный [0..4000];Выбором Обратно отсортированный [4100 -> 1];Пузырьковая Случайные [0..5];Пузырьковая Случайные [0..4000];Пузырьковая Почти отсортированный [0..4000];Пузырьковая Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон1 Случайные [0..5];Пузырьковая_Айверсон1 Случайные [0..4000];Пузырьковая_Айверсон1 Почти отсортированный [0..4000];Пузырьковая_Айверсон1 Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон2 Случайные [0..5];Пузырьковая_Айверсон2 Случайные [0..4000];Пузырьковая_Айверсон2 Почти отсортированный [0..4000];Пузырьковая_Айверсон2 Обратно отсортированный [4100 -> 1];Вставками Случайные [0..5];Вставками Случайные [0..4000];Вставками Почти отсортированный [0..4000];Вставками Обратно отсортированный [4100 -> 1];Бинарными_вставками Случайные [0..5];Бинарными_вставками Случайные [0..4000];Бинарными_вставками Почти отсортированный [0..4000];Бинарными_вставками Обратно отсортированный [4100 -> 1];Подсчетом_устойчивая Случайные [0..5];Подсчетом_устойчивая Случайные [0..4000];Подсчетом_устойчивая Почти отсортированный [0..4000];Подсчетом_устойчивая Обратно отсортированный [4100 -> 1];Цифровая Случайные [0..5];Цифровая Случайные [0..4000];Цифровая Почти отсортированный [0..4000];Цифровая Обратно отсортированный [4100 -> 1];Слиянием Случайные [0..5];Слиянием Случайные [0..4000];Слиянием Почти отсортированный [0..4000];Слиянием Обратно отсортированный [4100 -> 1];Быстрая_Хоар Случайные [0..5];Быстрая_Хоар Случайные [0..4000];Быстрая_Хоар Почти отсортированный [0..4000];Быстрая_Хоар Обратно отсортированный [4100 -> 1];Быстрая_Ломуто Случайные [0..5];Быстрая_Ломуто Случайные [0..4000];Быстрая_Ломуто Почти отсортированный [0..4000];Быстрая_Ломуто Обратно отсортированный [4100 -> 1];Пирамидальная Случайные [0..5];Пирамидальная Случайные [0..4000];Пирамидальная Почти отсортированный [0..4000];Пирамидальная Обратно отсортированный [4100 -> 1]
100;10021;10189;8473;9171;7987;9282;3884;4915;11556;14734;410;5385;7902;9629;411;4855;2350;2447;450;3374;4542;4837;418;5343;737;3036;740;649;1240;1908;1196;1165;4943;5120;3369;2960;2407;3356;2074;1212;2745;3005;6103;5281;3274;3644;3599;2810
200;38338;39064;37781;36755;23673;31053;12944;22017;45162;51287;2013;20938;23390;32087;1610;20847;6560;7301;967;11573;12937;16200;1756;21505;984;3222;1366;976;1850;3115;3084;1769;9117;10340;6743;5401;4117;7575;4426;1858;7169;6326;20389;17311;6562;7794;7589;6269
300;85957;88738;88083;84021;46344;62688;27075;51172;88234;103117;4134;47416;45855;64074;3607;48697;13535;14631;1751;24682;27327;33443;3396;49879;1286;3510;1635;1221;2506;4277;4282;4236;13751;15788;10298;8063;5831;11610;6849;2511;13517;9829;43114;36737;10213;12277;11361;9993
400;153677;157964;159723;152174;76802;104086;47009;92884;156753;179349;13266;84830;76410;104740;9148;89355;20576;23147;2741;42881;43526;53649;5258;89912;1515;3983;1891;1453;3098;5449;5500;5427;17895;21376;13708;10424;7833;15662;9177;3206;20931;13666;68905;63139;14084;17062;15222;13836
500;242737;247614;250944;240977;115824;153074;72155;147013;248251;280787;16643;132913;114541;153900;12027;142087;31486;35398;3715;66220;66739;82000;7293;142405;1738;3935;1994;1703;3677;6742;6550;6538;22325;27144;16604;12895;9661;20047;11321;3687;29315;17499;107298;97092;18227;21873;19307;17928
600;350570;355196;361918;347680;158492;211907;104782;213824;360831;407238;145492;190385;156120;214383;81477;205606;44095;50105;5164;94325;94991;116928;10112;205995;1862;4283;2303;1908;4377;7679;7773;7651;26965;33062;20326;15642;11430;24013;14009;4535;40098;21009;48058;138752;21827;27246;23480;22064
700;479711;485109;494465;479047;211272;280622;144266;291650;495482;561462;186960;261320;207496;283978;108994;281376;58337;65558;6700;127338;128366;153840;13427;283683;2106;4471;2466;2168;4904;8860;8896;8867;31045;38633;23327;17946;12981;28498;16792;5339;52471;25380;60937;186243;25307;32599;27113;26017
800;627197;634844;643312;624720;270147;356080;197121;380404;649112;736434;275727;342027;265636;362029;182742;371637;75900;86873;9099;166239;167804;203509;18797;370342;2303;4655;2668;2460;5500;9991;9931;10041;35475;44629;26962;20610;14668;32604;18589;6075;66729;29263;35878;241964;29187;37380;32041;29811
900;798274;805204;816182;792984;335475;447034;253214;483041;843555;948648;336282;432245;330962;451918;228120;470873;94682;107582;10481;209533;211589;253443;22094;470323;2573;4956;2858;2627;6145;11150;11131;11151;39754;50947;30030;23250;17192;37679;20748;6754;82398;32540;58823;305062;33126;42700;37017;33668
1000;985739;992311;999509;982379;408793;542890;320424;596502;1048418;1188236;451391;534680;396943;545863;308267;583214;116182;133185;12556;257781;260172;313531;27420;582328;2823;5327;3092;2951;6789;12271;12268;12363;43944;57030;33350;25652;18579;42667;19688;7118;100141;36905;65799;375115;37395;48320;41830;38060
1100;1195912;1208392;1193864;1194507;493269;655242;388641;725776;1310681;1463880;527592;647492;482944;658745;321236;705604;137802;159278;13244;312741;310802;374776;29051;706761;3180;6666;4469;3262;7417;13527;13643;13595;48485;63520;37037;28503;19754;46748;18809;7688;118350;42010;127149;452965;41434;53725;46094;41685
