Размер массива;Выбором Случайные [0..5];Выбором Случайные [0..4000];Выбором Почти отсортированный [0..4000];Выбором Обратно отсортированный [4100 -> 1];Пузырьковая Случайные [0..5];Пузырьковая Случайные [0..4000];Пузырьковая Почти отсортированный [0..4000];Пузырьковая Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон1 Случайные [0..5];Пузырьковая_Айверсон1 Случайные [0..4000];Пузырьковая_Айверсон1 Почти отсортированный [0..4000];Пузырьковая_Айверсон1 Обратно отсортированный [4100 -> 1];Пузырьковая_Айверсон2 Случайные [0..5];Пузырьковая_Айверсон2 Случайные [0..4000];Пузырьковая_Айверсон2 Почти отсортированный [0..4000];Пузырьковая_Айверсон2 Обратно отсортированный [4100 -> 1];Вставками Случайные [0..5];Вставками Случайные [0..4000];Вставками Почти отсортированный [0..4000];Вставками Обратно отсортированный [4100 -> 1];Бинарными_вставками Случайные [0..5];Бинарными_вставками Случайные [0..4000];Бинарными_вставками Почти отсортированный [0..4000];Бинарными_вставками Обратно отсортированный [4100 -> 1];Подсчетом_устойчивая Случайные [0..5];Подсчетом_устойчивая Случайные [0..4000];Подсчетом_устойчивая Почти отсортированный [0..4000];Подсчетом_устойчивая Обратно отсортированный [4100 -> 1];Цифровая Случайные [0..5];Цифровая Случайные [0..4000];Цифровая Почти отсортированный [0..4000];Цифровая Обратно отсортированный [4100 -> 1];Слиянием Случайные [0..5];Слиянием Случайные [0..4000];Слиянием Почти отсортированный [0..4000];Слиянием Обратно отсортированный [4100 -> 1];Быстрая_Хоар Случайные [0..5];Быстрая_Хоар Случайные [0..4000];Быстрая_Хоар Почти отсортированный [0..4000];Быстрая_Хоар Обратно отсортированный [4100 -> 1];Быстрая_Ломуто Случайные [0..5];Быстрая_Ломуто Случайные [0..4000];Быстрая_Ломуто Почти отсортированный [0..4000];Быстрая_Ломуто Обратно отсортированный [4100 -> 1];Пирамидальная Случайные [0..5];Пирамидальная Случайные [0..4000];Пирамидальная Почти отсортированный [0..4000];Пирамидальная Обратно отсортированный [4100 -> 1]
50;3041;2953;2222;2777;3289;3121;1725;1669;4143;4576;393;2049;3195;3378;360;1492;1083;1008;379;1373;1944;2100;361;1741;909;3836;665;601;1190;1403;839;998;2887;2790;2039;2136;1665;1996;1313;885;1597;1659;2538;2384;1764;2022;1946;1632
60;4293;4371;3438;3479;3935;4581;1928;2168;5675;6899;446;2679;4425;4877;413;2164;1531;1321;422;1807;2344;2599;409;2443;764;3105;667;737;1316;1584;878;1063;2996;3132;2192;2111;1845;2322;1391;917;1704;1895;2721;2531;1822;2214;2139;1698
70;5403;5304;3984;4932;4450;5209;2349;2491;6565;7296;365;2909;4424;4921;384;2510;1522;1512;408;2042;2679;2833;383;2996;689;2996;683;625;1087;1593;947;994;3306;3480;2335;2309;1963;2650;1441;819;1739;2043;3403;3082;2152;2509;2342;1909
80;6671;6762;5276;5921;5317;6209;2682;3155;7874;9776;423;3648;5405;6714;383;3179;1797;1762;427;2463;3260;3421;395;3651;705;2939;677;640;1173;1674;997;1083;3614;3852;2539;2416;1862;2978;1735;1077;2117;2350;4168;3692;2355;2759;2721;2261
90;8281;8524;6697;7364;6610;7910;3201;3953;9897;11915;385;4495;6666;7907;387;3922;2036;2024;432;2887;3663;4059;400;4438;678;2960;673;663;1219;1821;1121;1153;4239;4187;2953;2700;2171;3063;1888;1092;2312;2663;5056;4422;2784;3052;3087;2463
100;10052;10161;8397;9140;7814;9321;3819;4923;11446;14772;403;5415;7619;9695;406;4834;2370;2349;448;3414;4311;4647;418;5341;698;2961;791;669;1245;1927;1161;1156;4648;4824;3266;2936;2339;3351;1992;1142;2714;2962;6066;5267;3157;3577;3562;2800
110;12062;12416;10315;11098;8951;10970;4541;5960;14609;17692;568;6529;9039;11424;512;5841;2758;2724;509;4043;5099;5514;543;6413;731;2968;1129;751;1333;2047;2056;1225;5153;5323;3617;3230;2505;4011;2213;1067;2999;3325;7196;6265;3498;3949;4009;3170
120;14438;14765;12436;13099;10238;12626;5219;7242;16720;21461;765;7720;10561;13581;718;7029;3106;3140;569;4621;5925;6526;683;7748;737;3150;1115;741;1392;2188;2259;1287;5548;5853;3887;3433;2717;4256;2560;1277;3342;3682;8228;7147;3712;4359;4393;3470
130;16865;17217;14817;15344;11682;14748;5944;8675;18387;24608;783;9106;11755;15632;708;8327;3428;3673;568;5359;6518;7626;770;8978;778;3079;1124;927;1486;2268;2285;1439;6095;6456;4283;3662;2784;4731;2743;1292;3857;4137;9621;8192;4002;4774;4817;3803
140;19457;19714;17605;17794;13416;17129;6772;10213;21936;28905;806;10359;13648;17778;743;9773;3768;4175;618;6047;7158;8817;823;10401;806;3023;1124;847;1480;2408;2376;1423;6428;6950;4622;3878;3065;5256;3060;1372;4196;4318;10948;9330;4333;5261;5151;4117
150;21732;22794;20485;20220;14862;18984;7778;11904;24875;32521;1247;12062;14994;19568;999;11483;4209;4627;717;6801;8186;9898;1027;12148;823;3125;1279;865;1567;2579;2500;1433;6988;7411;4986;4303;3212;5746;3312;1376;4474;4693;12194;10609;4779;5790;5618;4465
160;24431;25815;23565;23168;16357;21095;8723;13649;28395;35636;1467;13687;16595;21753;1239;13162;4720;5142;747;7756;9229;11044;1241;13804;867;3174;1317;873;1667;2645;2630;1494;7386;7892;5229;4384;3582;5783;3472;1546;5007;5046;13506;11625;5012;5973;5930;4961
170;27578;28958;26717;26113;17881;23061;9559;15293;31856;38693;1548;15215;18123;23379;1299;14674;4982;5660;771;8514;9833;12273;1298;15392;884;3128;1289;895;1697;2745;2673;1573;7825;8427;5605;4653;3873;6182;3811;1548;5693;5414;15072;12962;5417;6466;6387;5129
180;31196;32107;30271;29340;19771;25346;10579;17436;35872;41609;1805;17180;20184;26089;1489;16853;5610;6175;866;9668;10971;13633;1485;17492;946;3124;1323;952;1735;2829;2841;1664;8317;9061;5890;4919;3693;6602;3973;1766;6152;5903;16722;14471;5685;6909;6768;5693
190;34721;35514;34000;33167;21484;28258;11695;19587;39089;46856;1907;19256;21180;29327;1559;18878;5866;6782;902;10513;11705;14852;1602;19437;905;3115;1347;976;1801;2952;2942;1703;8760;9577;6333;5245;4174;7138;4138;1711;6935;6110;18580;15770;6241;7151;7113;6070
200;38416;39251;38327;37027;23811;31169;12930;21779;45029;51640;2028;21110;23624;32088;1647;20882;6570;7258;973;11491;12993;16106;1751;21654;949;3155;1394;985;1870;3091;3045;1759;9149;10051;6618;5359;4096;7519;4601;1888;7038;6328;20430;17364;6621;7818;7562;6246
